INFO 2025-07-06 18:20:02,593 autoreload 22516 10936 Watching for file changes with StatReloader
INFO 2025-07-06 18:21:13,129 basehttp 22516 6472 "GET /api/auth/users/ HTTP/1.1" 200 415
INFO 2025-07-06 18:21:43,140 basehttp 22516 6472 "GET /api/messaging/messages/ HTTP/1.1" 200 52
INFO 2025-07-06 18:21:43,141 basehttp 22516 15628 "GET /api/auth/users/ HTTP/1.1" 200 415
INFO 2025-07-06 18:21:43,144 basehttp 22516 12580 "GET /api/stores/ HTTP/1.1" 200 52
INFO 2025-07-06 18:21:43,145 basehttp 22516 18620 "GET /api/products/ HTTP/1.1" 200 761
INFO 2025-07-06 18:21:43,146 basehttp 22516 17064 "GET /api/stock/mouvements/ HTTP/1.1" 200 52
INFO 2025-07-06 18:21:50,137 basehttp 22516 17064 "GET /api/messaging/messages/ HTTP/1.1" 200 52
INFO 2025-07-06 18:21:50,137 basehttp 22516 15628 "GET /api/stores/ HTTP/1.1" 200 52
INFO 2025-07-06 18:21:50,137 basehttp 22516 12580 "GET /api/auth/users/ HTTP/1.1" 200 415
INFO 2025-07-06 18:21:50,137 basehttp 22516 6472 "GET /api/stock/mouvements/ HTTP/1.1" 200 52
INFO 2025-07-06 18:21:50,137 basehttp 22516 18620 "GET /api/products/ HTTP/1.1" 200 761
INFO 2025-07-06 18:22:13,130 basehttp 22516 15628 "GET /api/stores/ HTTP/1.1" 200 52
INFO 2025-07-06 18:22:13,132 basehttp 22516 6472 "GET /api/auth/users/ HTTP/1.1" 200 415
INFO 2025-07-06 18:22:13,133 basehttp 22516 18620 "GET /api/messaging/messages/ HTTP/1.1" 200 52
INFO 2025-07-06 18:22:13,133 basehttp 22516 17064 "GET /api/stock/mouvements/ HTTP/1.1" 200 52
INFO 2025-07-06 18:22:13,134 basehttp 22516 12580 "GET /api/products/ HTTP/1.1" 200 761
INFO 2025-07-06 18:22:43,139 basehttp 22516 17064 "GET /api/messaging/messages/ HTTP/1.1" 200 52
INFO 2025-07-06 18:22:43,140 basehttp 22516 18620 "GET /api/stores/ HTTP/1.1" 200 52
INFO 2025-07-06 18:22:43,142 basehttp 22516 6472 "GET /api/auth/users/ HTTP/1.1" 200 415
INFO 2025-07-06 18:22:43,143 basehttp 22516 12580 "GET /api/products/ HTTP/1.1" 200 761
INFO 2025-07-06 18:22:43,143 basehttp 22516 15628 "GET /api/stock/mouvements/ HTTP/1.1" 200 52
INFO 2025-07-06 18:22:50,146 basehttp 22516 12580 "GET /api/messaging/messages/ HTTP/1.1" 200 52
INFO 2025-07-06 18:22:50,151 basehttp 22516 6472 "GET /api/stores/ HTTP/1.1" 200 52
INFO 2025-07-06 18:22:50,156 basehttp 22516 18620 "GET /api/auth/users/ HTTP/1.1" 200 415
INFO 2025-07-06 18:22:50,156 basehttp 22516 15628 "GET /api/products/ HTTP/1.1" 200 761
INFO 2025-07-06 18:22:50,158 basehttp 22516 17064 "GET /api/stock/mouvements/ HTTP/1.1" 200 52
INFO 2025-07-06 18:23:13,136 basehttp 22516 17064 "GET /api/messaging/messages/ HTTP/1.1" 200 52
INFO 2025-07-06 18:23:13,137 basehttp 22516 18620 "GET /api/stores/ HTTP/1.1" 200 52
INFO 2025-07-06 18:23:13,137 basehttp 22516 6472 "GET /api/auth/users/ HTTP/1.1" 200 415
INFO 2025-07-06 18:23:13,137 basehttp 22516 15628 "GET /api/products/ HTTP/1.1" 200 761
INFO 2025-07-06 18:23:13,141 basehttp 22516 12580 "GET /api/stock/mouvements/ HTTP/1.1" 200 52
